Daerah,Transisi Energi #1,Energi Baru Terbarukan #1 ,Krisis Iklim/Perubahan Iklim #1,Mineral Kritis #1,Transisi Energi - Teman,Transisi Energi - Keluarga,Transisi Energi - Media Sosial,Transisi Energi - Pemerintah,Transisi Energi - Media Massa,Transisi Energi - Event,Transisi Energi - Buku,Transisi Energi - Internet,Transisi Energi - Lainnya,Transisi Energi - Tidak Tahu,Energi Baru Terbarukan - Teman,Energi Baru Terbarukan - Keluarga,Energi Baru Terbarukan - Media Sosial,Energi Baru Terbarukan - Pemerintah,Energi Baru Terbarukan - Media Massa,Energi Baru Terbarukan - Event,Energi Baru Terbarukan - Buku,Energi Baru Terbarukan - Internet,Energi Baru Terbarukan - Lainnya,Energi Baru Terbarukan - Tidak Tahu,Krisis Iklim/Perubahan Iklim - Teman,Krisis Iklim/Perubahan Iklim - Keluarga,Krisis Iklim/Perubahan Iklim - Media Sosial,Krisis Iklim/Perubahan Iklim - Pemerintah,Krisis Iklim/Perubahan Iklim - Media Massa,Krisis Iklim/Perubahan Iklim - Event,Krisis Iklim/Perubahan Iklim - Buku,Krisis Iklim/Perubahan Iklim - Internet,Krisis Iklim/Perubahan Iklim - Lainnya,Krisis Iklim/Perubahan Iklim - Tidak Tahu,Mineral Kritis - Teman,Mineral Kritis - Keluarga,Mineral Kritis - Media Sosial,Mineral Kritis - Pemerintah,Mineral Kritis - Media Massa,Mineral Kritis - Event,Mineral Kritis - Buku,Mineral Kritis - Internet,Mineral Kritis - Lainnya,Mineral Kritis - Tidak Tahu
Sigi,Ya,Tidak,Ya,Ya,,,,Pemerintah,Media Massa,,Buku,,,,,,Media Sosial,,Media Massa,,,,,,,,Media Sosial,,Media Massa,,,,,,,,Media Sosial,,Media Massa,,,,,
Morowali Utara,Ya,Ya,Ya,Ya,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,
Morowali,,,Ya,,,,,,,,,,,,,,,,,,,,,,Teman,Keluarga,Media Sosial,,Media Massa,,,Internet,,,,,,,,,,,,
Kota Palu,Ya,Tidak,Ya,Tidak,,,Media Sosial,,,,,Internet,,,,,,,,,,,,Tidak Tahu,,,Media Sosial,,,,,Internet,,,,,,,,,,,,Tidak Tahu
Morowali Utara,Ya,Ya,Ya,Ya,,,Media Sosial,,,,,Internet,,,,,Media Sosial,,,,,Internet,,,,,Media Sosial,,,,,Internet,,,,,Media Sosial,,,,,Internet,,
Sigi,Ya,Ya,Ya,Ya,Teman,,,Pemerintah,,,,,,,Teman,,,Pemerintah,,,,,,,Teman,,,Pemerintah,,,,,,,Teman,,,Pemerintah,,,,,,
Morowali Utara,Ya,Ya,Ya,Ya,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,Teman,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,Teman,,Media Sosial,Pemerintah,Media Massa,,,Internet,Lainnya,
Sigi,Ya,Ya,Ya,Tidak,,,,Pemerintah,,,,,,,Teman,,,Pemerintah,,,,,,,Teman,,,Pemerintah,,,,,,,,,,,,,,,,Tidak Tahu
Morowali Utara,Ya,Ya,Ya,Ya,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,
Sigi,Ya,Ya,Ya,Ya,,,,Pemerintah,Media Massa,,Buku,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,Lainnya,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,Lainnya,
Prov Palu,Ya,Ya,Ya,Tidak,Teman,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,Teman,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,,,,,,Event,,,,
Kota Palu,Ya,Ya,Ya,Ya,Teman,,Media Sosial,Pemerintah,,,,Internet,,,Teman,,Media Sosial,Pemerintah,,,,Internet,,,Teman,,Media Sosial,Pemerintah,,,,Internet,,,Teman,,Media Sosial,Pemerintah,,,,Internet,,
Sigi,Ya,Ya,Ya,Ya,Teman,,,Pemerintah,Media Massa,,Buku,Internet,,,Teman,,,Pemerintah,Media Massa,Event,Buku,Internet,,,Teman,,Media Sosial,Pemerintah,Media Massa,Event,,Internet,,,Teman,,Media Sosial,Pemerintah,Media Massa,Event,Buku,Internet,,
Prov Palu,,Ya,Ya,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,
Sigi,Ya,Ya,Ya,Ya,,Keluarga,,Pemerintah,Media Massa,Event,Buku,Internet,,,,Keluarga,Media Sosial,Pemerintah,Media Massa,Event,,,,,,Keluarga,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,,Keluarga,Media Sosial,Pemerintah,Media Massa,Event,Buku,,,
,Ya,Ya,Ya,Tidak,,,,Pemerintah,,,,Internet,,,,,,Pemerintah,,,,Internet,,,,,,Pemerintah,,,,Internet,,,,,,,,,,,,Tidak Tahu
Prov Palu,,,Ya,,,,,,,,,,,,,,,,,,,,,,,,Media Sosial,Pemerintah,,Event,,Internet,Lainnya,,,,,,,,,,,
Sigi,,Ya,Ya,Ya,,Keluarga,,Pemerintah,Media Massa,Event,Buku,Internet,,,,Keluarga,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,,Keluarga,Media Sosial,Pemerintah,Media Massa,Event,Buku,Internet,,,,,Media Sosial,Pemerintah,Media Massa,Event,Buku,Internet,Lainnya,
Morowali,Ya,Ya,Ya,Tidak,,,,Pemerintah,,,,,,,,,Media Sosial,,,,,,,,,,,Pemerintah,,,,,,,,,,,Media Massa,,,,,
Kota Palu,Tidak,Ya,Ya,Tidak,,,,,,,,,,Tidak Tahu,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,,,,,,,,,,,Tidak Tahu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morowali,Ya,Ya,Ya,Ya,,,,Pemerintah,,,,,Lainnya,,,,,Pemerintah,,,,,Lainnya,,,,,Pemerintah,,,,,Lainnya,,,,,Pemerintah,,,,,Lainnya,
