type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,09,-8.0366053060,114.4618747104, , ,False, , ,1121, , ,2025-02-22T01:33:29Z, , ,2025/02/22 08:33:29
TRACK,09,-8.0366049707,114.4618752971, , ,False, , ,1124, , ,2025-02-22T01:33:31Z, , ,2025/02/22 08:33:31
TRACK,09,-8.0366037972,114.4618757162, , ,False, , ,1133, , ,2025-02-22T01:33:33Z, , ,2025/02/22 08:33:33
TRACK,09,-8.0366045516,114.4618771411, , ,False, , ,1130, , ,2025-02-22T01:33:35Z, , ,2025/02/22 08:33:35
TRACK,09,-8.0366038810,114.4618779793, , ,False, , ,1137, , ,2025-02-22T01:33:37Z, , ,2025/02/22 08:33:37
TRACK,09,-8.0366039649,114.4618786499, , ,False, , ,1135, , ,2025-02-22T01:33:39Z, , ,2025/02/22 08:33:39
TRACK,09,-8.0366041325,114.4618787337, , ,False, , ,1136, , ,2025-02-22T01:33:41Z, , ,2025/02/22 08:33:41
TRACK,09,-8.0366041325,114.4618785661, , ,False, , ,1129, , ,2025-02-22T01:33:43Z, , ,2025/02/22 08:33:43
TRACK,09,-8.0366034620,114.4618786499, , ,False, , ,1122, , ,2025-02-22T01:33:45Z, , ,2025/02/22 08:33:45
TRACK,09,-8.0366032943,114.4618793204, , ,False, , ,1118, , ,2025-02-22T01:33:47Z, , ,2025/02/22 08:33:47
TRACK,09,-8.0366027914,114.4618798234, , ,False, , ,1118, , ,2025-02-22T01:33:49Z, , ,2025/02/22 08:33:49
TRACK,09,-8.0366028752,114.4618796557, , ,False, , ,1106, , ,2025-02-22T01:33:51Z, , ,2025/02/22 08:33:51
TRACK,09,-8.0366022047,114.4618799072, , ,False, , ,1098, , ,2025-02-22T01:33:53Z, , ,2025/02/22 08:33:53
TRACK,09,-8.0365999416,114.4618809968, , ,False, , ,1097, , ,2025-02-22T01:33:55Z, , ,2025/02/22 08:33:55
TRACK,09,-8.0365992710,114.4618824217, , ,False, , ,1116, , ,2025-02-22T01:33:57Z, , ,2025/02/22 08:33:57
TRACK,09,-8.0365979299,114.4618814159, , ,False, , ,1134, , ,2025-02-22T01:33:59Z, , ,2025/02/22 08:33:59
TRACK,09,-8.0366004445,114.4618827570, , ,False, , ,1139, , ,2025-02-22T01:34:01Z, , ,2025/02/22 08:34:01
TRACK,09,-8.0366021208,114.4618830085, , ,False, , ,1146, , ,2025-02-22T01:34:03Z, , ,2025/02/22 08:34:03
TRACK,09,-8.0366023723,114.4618838467, , ,False, , ,1147, , ,2025-02-22T01:34:05Z, , ,2025/02/22 08:34:05
