Daerah,19,20,21,22
Morowali,"Konversi Energi, Energi Terbarukan",Energi yang Tidak Habis,"Pemanasan Global, Efek Rumah Kaca",Nikel
Prov Palu,"Kendaraan Listrik, Energi Terbarukan",Baterai,Cuaca Ekstrem,Nikel
Sigi,Belum ada program,PLTA,"Pembalakan Liar, Banjir",Belum Ada
Prov Palu,"Energi Terbarukan, Konversi Energi","PLTS, Biomassa","Cuaca Ekstrem, Efek Rumah Kaca",Nikel
Morowali,"Energi Ramah Lingkungan, Kendaraan Listrik","Energi dari Sumber Daya Alam, Tenaga Matahari",Cuaca Ekstrem,"Mineral, Kekurangan Pemasokan, Nikel"
Morowali,"Energi Terbarukan, Konversi Energi",Pengganti Energi Fosil,Kerusakan Lingkungan,"Mineral, Terbatas"
Prov Palu,"Energi Terbarukan, Konversi Energi",PLTA,Pemanasan Global,Tidak Tahu
Prov Palu,"Konversi Energi, Baterai",Energi dari Sumber Daya Alam,Cuaca Ekstrem,Nikel
Kota Palu,"Dampak Iklim, Nikel, Konversi Energi",PLTS,"Banjir, Cuaca Ekstrem","Nikel, Terbatas"
Morowali Utara,Konversi energi,Bio energi,Efek Rumah Kaca,Nikel
Morowali,"Energi Digital, Konversi Energi",Litium Kobal,Cuaca Ekstrem,Terbatas
Morowali Utara,Lainnya,PLTS,Cuaca Ekstrem,Nikel
Morowali Utara,"Energi Rendah Karbon, Energi Terbarukan",PLTS,Cuaca Ektrem,Nikel
Prov Palu,"Energi Ramah Lingkungan, Kebutuhan Rumah",Berkelanjutan,Cuaca Ekstrem,Dampak Lingkungan
Prov Palu,"Energi Listrik, Energi Terbarukan","Biomassa, Baterai",Cuaca Ekstrem,Nikel
Morowali,"Energi Tidak Terbatas, Perilaku Konsumsi","Geotermal, Matahari, Air",Cuaca Ekstrem,Terbatas
Sigi,"Energi Terbarukan, Konversi Energi","Air, Angin, Matahari",Cuaca Ekstrem,Tidak Tahu
